,budget_x,movie_facebook_likes,War,actor_3_facebook_likes,Drama,Action,cast_total_facebook_likes,cinematographer,mpaa,composer
0,3.175138096,0.472756298,0,-0.188126073,0,1,-0.637123922,162,2,89
1,4.741639824,-0.569035602,0,-0.141460024,0,1,1.518664954,49,2,79
2,3.131473801,4.608354445,0,6.938906084,0,1,4.412255185,257,2,79
3,3.39772592,0.188631234,0,-0.29272239,0,1,-0.783812287,45,2,136
4,3.836010438,-0.569035602,0,0.824044446,0,1,1.404970325,21,2,35
5,2.837800745,3.156159676,0,5.651566792,0,1,3.68109221,17,2,45
6,2.743908691,5.650146345,0,0.180374799,0,1,0.334655529,142,2,112
7,2.874081092,-0.569035602,0,-0.172678001,0,1,0.609157463,172,2,102
8,3.226327798,-0.411188344,0,-0.141460024,0,1,1.525402414,49,2,79
9,2.365325844,0.94629807,0,-0.141460024,0,1,1.390207363,23,2,79
10,2.555673163,3.156159676,0,-0.222562399,0,1,0.138724262,6,2,79
11,3.024656729,-0.569035602,0,-0.398606047,0,1,0.247811658,134,1,82
12,2.548439965,3.314006933,0,5.651566792,0,1,3.467920973,224,2,5
13,2.548439965,3.314006933,0,5.651566792,0,1,3.467920973,224,2,5
14,3.233504723,1.261992586,0,-0.141460024,0,1,1.802678596,49,2,79
15,2.645612271,0.693742458,0,-0.232217444,0,1,-0.253782293,21,2,45
16,2.742784577,1.198853683,0,-0.153367912,0,1,0.534748168,125,2,89
17,2.324714334,-0.032354926,0,-0.225780747,1,1,-0.71589275,123,2,125
18,2.154127293,-0.569035602,0,-0.141460024,0,0,0.31761372,101,2,9
19,2.743908691,1.703964907,0,3.076888207,0,1,2.333501232,251,2,84
20,2.334660891,0.820020264,0,-0.261504413,0,1,0.445080508,248,2,172
21,1.011823846,4.166382124,0,-0.141460024,0,1,-0.457590443,125,2,136
22,2.8628136,-0.569035602,0,0.824044446,0,1,1.272846763,21,2,45
23,2.079804867,2.430062291,0,0.502209623,0,1,0.630707426,128,2,27
24,2.324714334,0.188631234,0,3.076888207,0,0,3.084480264,49,1,45
25,2.409803307,-0.569035602,0,-0.313963489,0,1,-0.717180794,18,2,172
26,2.187935567,1.198853683,0,-0.20325231,0,1,-0.679034883,6,2,172
27,2.365325844,1.325131489,0,3.076888207,0,0,2.76167669,181,1,45
28,1.716935958,0.378047943,0,-0.141460024,0,1,0.389149687,39,1,178
29,2.241375477,-0.253341087,0,-0.213551024,0,0,-0.654562053,226,0,136
30,2.241375477,0.188631234,0,-0.358376694,0,1,-0.001870664,65,2,91
31,2.409803307,-0.569035602,0,-0.145322041,0,1,0.484167682,225,2,45
32,1.742214605,2.39849284,0,4.042392676,0,1,3.044501368,151,2,27
33,1.889457548,3.503423642,0,-0.141460024,0,1,0.728103347,18,2,126
34,2.001503325,2.019659422,0,5.973401615,0,1,3.653052489,172,2,102
35,1.889457548,2.335353937,0,-0.164632131,0,1,0.184103034,45,2,136
36,1.984631207,0.125492331,0,-0.418237971,0,0,-0.789113082,172,2,102
37,2.324714334,0.157061783,0,-0.387341828,0,1,-0.076577201,126,2,82
38,1.889457548,2.051228873,0,-0.167528644,0,1,0.072885412,97,2,158
39,2.142162553,0.883159167,0,-0.276308814,0,1,-0.748143383,6,2,172
40,2.179892599,-0.411188344,0,-0.141460024,0,1,-0.135529971,110,2,106
41,1.58143564,0.378047943,0,-0.42950219,0,1,-0.810861205,232,2,136
42,1.291623116,-0.569035602,0,-0.407617422,0,1,-0.820868314,107,2,116
43,2.409803307,-0.158632732,0,-0.363526051,0,1,-0.770386908,61,2,80
44,2.409803307,-0.569035602,0,2.755053384,1,0,1.54482215,208,1,5
45,1.48657784,0.820020264,0,3.720557853,0,1,1.468332169,128,2,136
46,1.492014637,0.346478492,0,-0.43014586,1,1,0.17241156,101,2,168
47,1.492014637,0.346478492,0,-0.43014586,1,1,0.17241156,101,2,168
48,2.318852222,-0.569035602,0,-0.436904391,0,0,-0.811356606,68,1,82
49,1.456246235,1.13571478,0,-0.141460024,0,1,1.584751505,172,2,102
50,2.179892599,0.599034104,0,3.076888207,1,1,1.986918389,257,2,91
51,1.892685205,0.283339589,0,-0.378974123,0,0,-0.746062697,112,1,136
52,1.229532952,-0.253341087,0,0.824044446,0,1,1.06794873,161,2,158
53,1.335128469,-0.569035602,0,-0.271803127,0,1,-0.424249926,229,2,159
54,1.402593633,1.956520519,0,-0.35741119,0,1,-0.317441377,216,2,173
55,2.046314271,-0.505896699,0,1.789548915,0,0,4.474527145,104,1,99
56,1.591352394,1.861812164,0,-0.299480922,0,1,-0.249819082,65,2,33
57,1.892685205,-0.569035602,0,-0.279848997,0,1,0.445278669,170,2,5
58,2.324714334,-0.000785475,0,0.824044446,0,1,1.532932516,161,2,99
59,1.576716904,1.104145328,0,3.076888207,1,1,2.73393421,96,2,91
60,1.628638842,2.240645582,0,-0.191022586,0,1,-0.107936111,61,1,91
61,1.442206601,0.851589716,0,-0.178792863,1,1,-0.165055897,168,2,136
62,1.60393657,0.535895201,0,-0.14725305,1,1,0.16200813,123,2,86
63,1.442206601,1.167284231,0,0.180374799,0,1,0.916157731,251,2,84
64,1.615639562,-0.569035602,0,-0.394744029,0,0,-0.647329192,259,1,82
65,1.742214605,0.599034104,0,-0.268906614,0,1,-0.626621412,39,1,136
66,1.34899048,0.72531191,0,-0.282423676,0,1,-0.72981353,201,1,84
67,1.479544598,0.693742458,0,-0.195206439,0,0,-0.656097797,201,1,84
68,1.223751625,1.546117649,0,-0.291113216,0,1,-0.716437692,153,2,80
69,1.615639562,0.472756298,0,-0.219022216,0,1,0.136643576,92,1,104
70,2.959202658,-0.569035602,0,-0.401824395,0,1,-0.788964462,66,3,126
71,1.442206601,2.461631743,0,0.502209623,0,1,0.730382194,17,2,186
72,1.34899048,10.44870297,0,1.467714092,1,0,0.683319058,102,2,79
73,1.514343167,4.955618412,0,6.938906084,0,1,3.14184775,257,2,79
74,-0.798946417,-0.127063281,0,0.824044446,0,1,1.368905101,82,2,23
75,-0.798946417,-0.127063281,0,0.824044446,0,1,1.368905101,82,2,23
76,-0.798946417,-0.127063281,0,0.824044446,0,1,1.368905101,82,2,23
77,1.440723985,0.157061783,0,-0.167528644,1,0,-0.216082244,39,2,9
78,1.447672081,1.13571478,0,-0.141460024,0,1,1.649104152,123,2,84
79,1.194421536,0.630603555,0,4.042392676,0,1,3.155223589,117,2,91
80,1.311750375,-0.221771635,0,-0.344215962,0,1,-0.213357536,23,1,184
81,1.795325555,-0.569035602,0,-0.237366801,1,1,3.703682515,126,2,114
82,1.313172629,0.378047943,0,3.076888207,0,0,3.126539846,241,1,45
83,1.134330621,2.240645582,0,-0.254745881,0,1,-0.603882486,229,2,158
84,1.103122691,2.019659422,0,0.180374799,0,1,1.049173016,139,2,121
85,1.413046771,-0.221771635,0,-0.444306592,0,0,-0.838752306,47,1,47
86,1.692524602,-0.569035602,0,-0.240906984,1,1,-0.609034661,125,2,79
87,1.50724916,-0.31647999,0,-0.276308814,0,1,-0.761023821,170,2,172
88,1.440723985,-0.569035602,0,-0.148218555,0,1,0.192673478,248,2,104
89,1.50724916,-0.221771635,0,-0.283711015,1,0,-0.228814061,9,2,91
90,1.644519934,-0.569035602,0,-0.274055971,0,0,1.988999075,191,1,45
91,1.50724916,-0.253341087,0,-0.156264425,1,0,-0.640591732,203,0,136
92,1.644519934,-0.095493829,0,3.076888207,0,1,2.073910881,257,2,91
93,1.375567104,-0.505896699,0,-0.141460024,0,0,1.80049883,125,1,5
94,1.375567104,-0.569035602,0,0.180374799,0,1,1.107679925,68,2,82
95,1.787616617,-0.569035602,0,-0.453639802,0,1,-0.850146538,21,3,59
96,1.508762911,1.419839843,0,3.39872303,0,1,2.086048216,139,2,27
97,1.375567104,-0.569035602,0,-0.368675409,0,1,-0.036994626,220,2,79
98,1.249246232,1.419839843,0,3.39872303,0,1,2.098730492,99,2,149
99,1.440723985,-0.569035602,0,-0.238332305,1,0,0.114548672,222,1,104
100,1.375567104,-0.569035602,0,-0.404720909,0,1,-0.766770477,23,1,184
101,1.188027679,0.030783977,0,-0.301733765,0,1,-0.074843296,17,2,93
102,0.216304619,2.019659422,0,4.686062322,0,0,3.128670072,28,2,45
103,1.311750375,-0.569035602,0,-0.411157605,1,0,-0.229061762,228,3,45
104,1.249246232,0.062353428,0,-0.458467324,0,1,0.164485137,43,1,104
105,1.311750375,-0.000785475,0,-0.351939998,0,1,-0.735064786,9,1,91
106,1.575171364,-0.569035602,0,-0.148218555,0,1,0.848238195,45,2,136
107,1.128068274,0.472756298,0,-0.380905132,1,1,0.025227794,11,2,80
108,1.249246232,-0.569035602,0,-0.323940368,0,1,-0.745220515,208,1,104
109,1.011823846,0.188631234,0,-0.336491926,0,0,0.183211311,123,1,104
110,1.011823846,0.188631234,0,-0.336491926,0,0,0.183211311,123,1,104
111,2.289069212,-0.569035602,0,-0.191666256,1,0,0.012347357,214,3,89
112,0.848183409,1.388270392,0,-0.359664034,0,1,-0.772715294,204,2,177
113,0.848183409,1.388270392,0,-0.359664034,0,1,-0.772715294,204,2,177
114,1.622188668,-0.505896699,0,-0.197459283,0,1,-0.142267431,95,2,45
115,1.50724916,-0.474327247,0,-0.153046077,0,1,0.685052963,208,2,5
116,1.150033308,0.535895201,0,-0.241228819,0,1,0.201788865,205,2,136
117,0.520632788,-0.505896699,0,-0.388307333,0,0,-0.777669309,116,2,177
118,1.553299409,-0.569035602,1,-0.32007835,1,1,-0.284843963,128,3,79
119,1.375567104,0.030783977,0,-0.147574885,0,1,1.069534015,45,2,136
120,1.598264882,-0.411188344,0,0.824044446,0,1,1.128982187,66,2,45
121,0.976125997,0.883159167,0,-0.15658626,0,1,0.281548495,92,1,104
122,0.776646606,0.188631234,0,-0.371893757,0,1,0.102758118,185,2,126
123,1.307353791,-0.569035602,0,-0.253136707,0,1,-0.742594887,61,2,23
124,0.961872623,-0.000785475,0,-0.330377065,1,1,-0.751264412,142,3,186
125,1.483004247,-0.569035602,0,-0.380261462,0,1,-0.786735155,87,2,45
126,0.747373637,0.756881361,0,-0.162701122,0,1,0.706602925,232,2,84
127,1.619246043,-0.569035602,0,-0.327480551,0,1,-0.132755723,171,2,64
128,1.050820383,0.883159167,0,0.180374799,0,1,0.102361797,228,2,5
129,1.787616617,-0.569035602,0,-0.409226596,1,1,-0.816905102,218,2,87
130,0.604993843,1.482978746,0,3.39872303,1,0,2.055036086,97,2,31
131,0.604993843,1.482978746,0,3.39872303,1,0,2.055036086,97,2,31
132,1.440723985,-0.569035602,0,-0.179436533,0,1,-0.588723202,185,2,41
133,0.737927311,5.429160184,0,-0.227389921,1,1,1.952537529,75,3,10
134,0.842547296,-0.158632732,0,-0.314285324,0,0,-0.013809839,33,1,84
135,0.951607459,0.251770137,0,-0.161091948,0,0,1.268041369,213,1,79
136,0.644744983,-0.569035602,0,-0.179114698,0,1,-0.016138226,175,2,104
137,1.01834192,-0.379618893,0,-0.282423676,0,1,-0.244765987,259,1,104
138,0.646628466,1.35670094,0,-0.244447167,0,1,-0.592735954,219,2,33
139,0.747373637,2.019659422,0,-0.294975234,0,1,1.568452798,117,2,91
140,1.239920562,-0.569035602,0,-0.203574144,0,0,-0.244567827,110,2,106
141,1.318982201,-0.569035602,0,-0.181045707,0,1,-0.234857959,6,3,184
142,0.852394534,-0.063924378,0,-0.335526422,0,0,-0.626621412,92,1,84
143,0.501379207,0.157061783,0,-0.372537427,0,1,-0.262005957,205,2,91
144,0.603261515,1.672395455,0,2.111383738,1,1,0.726270362,161,2,39
145,0.747373637,0.599034104,0,-0.175574515,1,1,-0.174716225,187,2,91
146,1.452598386,-0.569035602,0,-0.338422935,0,0,-0.730705253,57,1,91
147,0.640547963,-0.221771635,0,-0.141460024,0,0,1.778106685,97,1,5
148,0.747373637,0.062353428,0,-0.141460024,0,1,0.686341006,5,2,33
149,1.553299409,-0.253341087,0,-0.141460024,0,1,1.510441291,49,2,114
150,0.603261515,1.072575877,0,4.042392676,0,1,3.155223589,117,2,91
151,1.024785886,-0.569035602,0,-0.346790641,0,1,-0.083562361,220,2,79
152,0.193110583,-0.569035602,0,-0.445272097,0,0,-0.825525087,198,0,104
153,0.75318161,1.13571478,0,3.39872303,0,1,1.865198257,232,2,27
154,0.805268395,-0.095493829,0,-0.189735247,0,1,0.015270225,185,2,158
155,0.702166149,0.409617395,0,-0.269550283,0,1,-0.27344973,205,2,91
156,1.340372272,-0.569035602,0,-0.258607899,0,0,-0.671207541,69,1,89
157,1.141580437,0.030783977,0,-0.20196497,0,1,0.141597591,253,2,80
158,1.390250545,-0.569035602,0,-0.253136707,0,1,-0.285587065,115,2,79
159,1.76433759,-0.569035602,0,-0.314928993,1,1,-0.74363523,126,2,89
160,1.075997072,-0.569035602,0,-0.237366801,0,1,-0.118537702,141,1,102
161,0.604993843,3.282437482,0,-0.353549172,1,0,-0.771526331,39,1,139
162,0.644744983,-0.569035602,0,-0.333917248,0,1,-0.182196786,218,2,35
163,1.084664993,-0.569035602,0,-0.141460024,0,1,-0.676161555,219,2,62
164,0.799338455,2.493201194,0,-0.256998725,0,0,0.317217399,49,3,125
165,1.14371293,-0.554545224,0,-0.290469547,0,0,-0.743734311,239,1,5
166,0.461852659,1.35670094,0,-0.141460024,1,1,-0.00028538,251,3,169
167,0.682584926,-0.569035602,0,-0.280814502,0,1,-0.026541656,103,3,77
168,0.137180911,1.325131489,0,-0.141460024,0,1,-0.175063006,148,2,153
169,0.807150887,-0.569035602,0,-0.435295217,1,1,-0.831915766,59,1,136
170,0.703971999,-0.569035602,0,-0.412766779,1,0,-0.827407613,110,2,79
171,0.557026319,1.672395455,0,-0.141460024,0,1,0.213480338,39,2,18
172,0.812843446,-0.253341087,0,0.824044446,0,1,1.305246017,59,2,106
173,1.024093995,-0.569035602,0,0.824044446,0,1,1.253129786,59,1,106
174,0.557026319,1.577687101,0,-0.164310296,0,1,0.300225129,217,2,126
175,1.024093995,-0.569035602,1,-0.264722761,1,1,-0.131219979,115,3,89
176,0.329541586,-0.063924378,0,2.433218561,1,1,1.437864981,188,2,91
177,0.603261515,1.388270392,0,-0.325227708,0,1,-0.74333799,148,2,27
178,0.687225602,-0.190202184,0,-0.206148823,0,1,-0.465120545,148,2,172
179,0.464030776,0.72531191,0,-0.43819173,1,1,-0.814130854,160,2,126
180,0.464030776,0.72531191,0,-0.43819173,1,1,-0.814130854,160,2,126
181,0.281433086,1.072575877,0,-0.178792863,1,1,-0.048388859,237,2,13
182,1.016163499,-0.442757796,1,-0.141460024,1,1,0.087152973,29,3,106
183,0.797333804,-0.569035602,0,-0.350652659,0,0,0.082446659,240,2,51
184,0.970187647,-0.569035602,0,-0.359664034,0,1,0.249050161,23,2,104
185,0.281433086,0.283339589,0,-0.141460024,0,1,0.244096147,84,2,111
186,0.797333804,-0.569035602,0,-0.197137448,1,0,0.836596261,209,2,85
187,0.541897766,-0.569035602,0,-0.425962007,0,0,-0.818490387,59,1,84
188,0.653968685,-0.127063281,0,-0.224815243,0,1,-0.213208916,125,2,91
189,0.323613152,1.672395455,0,-0.141460024,1,1,-0.352317638,229,3,112
190,0.455542836,0.409617395,0,-0.427571181,0,0,-0.842319196,189,1,83
191,0.271505341,-0.569035602,0,-0.450421454,0,0,-0.831321284,189,1,83
192,0.366679,3.314006933,0,-0.324905873,0,1,-0.237136805,68,2,172
193,0.644744983,-0.569035602,0,-0.367709904,0,1,-0.184971034,229,2,126
194,0.797333804,-0.569035602,0,-0.319434681,0,1,-0.71931102,189,1,182
195,0.886460449,-0.569035602,0,-0.212263685,1,0,-0.173329101,75,3,155
196,0.826916064,-0.539170901,0,-0.323618533,0,0,-0.739771099,75,1,54
197,1.026831559,-0.569035602,0,-0.313319819,1,1,-0.278750525,229,2,126
198,1.194965076,-0.569035602,0,-0.400537056,1,1,0.094385834,123,3,82
199,0.244913548,4.261090479,0,-0.343572292,1,0,-0.14187111,49,2,82
200,1.105054104,-0.569035602,0,0.502209623,0,1,0.849328078,162,2,172
201,0.517380771,-0.569035602,0,0.502209623,0,1,0.563481451,176,2,184
202,0.841589544,0.09392288,0,-0.239619645,1,1,-0.5535497,123,3,120
203,0.713084765,-0.569035602,0,-0.291756886,0,1,-0.255070337,110,2,106
204,0.715477143,-0.569035602,0,-0.280814502,0,1,-0.739077537,191,2,45
205,0.341330902,-0.569035602,0,-0.141460024,1,0,2.323642743,47,3,64
206,0.429118939,-0.569035602,0,-0.282745511,1,0,0.131739102,100,3,125
207,0.341330902,-0.569035602,0,-0.33938844,0,1,0.109545118,248,3,82
208,0.298786415,-0.569035602,0,-0.235435792,0,0,0.316424756,197,2,170
209,0.298786415,-0.063924378,0,-0.428858521,0,1,0.125744745,175,2,107
210,0.060828929,2.840465161,0,3.720557853,0,1,1.99083206,228,3,27
211,0.567836049,-0.569035602,0,-0.353549172,0,1,-0.198941355,29,1,184
212,0.474400408,-0.569035602,0,-0.397962378,0,1,-0.654314352,103,1,149
213,0.176331682,-0.032354926,0,-0.424674668,0,0,-0.155692809,198,1,45
214,0.298786415,0.220200686,0,0.502209623,0,1,1.856776432,126,2,91
215,-0.106399168,-0.063924378,0,-0.277596154,0,1,-0.664271921,58,1,50
216,0.567836049,-0.569035602,0,-0.281136337,0,1,-0.720846764,244,2,114
217,0.137180911,0.09392288,0,-0.312997984,0,1,-0.072316748,47,2,69
218,0.137180911,0.09392288,0,-0.312997984,0,1,-0.072316748,47,2,69
219,1.622188668,-0.569035602,0,-0.231573774,0,0,0.458010486,196,1,91
220,0.341330902,-0.569035602,0,-0.29400973,0,1,-0.353853383,65,2,136
221,0.190134241,0.599034104,0,-0.190378917,0,1,-0.680322927,82,2,112
222,0.160988902,-0.541222915,0,-0.390238342,0,0,-0.817400504,95,1,159
223,0.098835396,0.283339589,0,-0.279527163,1,1,0.526772205,13,2,167
224,0.665237191,-0.55590271,0,-0.243481662,0,1,-0.571384152,175,2,104
225,0.080575627,0.472756298,0,-0.451708793,1,0,-0.861293071,198,0,33
226,0.66662477,-0.569035602,0,-0.273090466,0,1,-0.085345806,1,2,5
227,0.665237191,-0.569035602,0,-0.141460024,1,0,1.484333635,163,3,85
228,0.338338293,-0.569035602,0,-0.313641654,0,0,-0.195523085,202,2,47
229,0.520067652,-0.253341087,1,-0.28403285,1,0,-0.665064563,230,3,79
230,0.298786415,-0.569035602,0,-0.230930104,1,0,-0.650945622,127,3,1
231,0.119132312,-0.127063281,0,-0.168494149,1,0,0.379439819,198,1,104
232,0.007536551,1.198853683,0,-0.301733765,1,0,-0.645198966,99,1,149
233,-0.38263444,-0.063924378,0,-0.363526051,1,0,-0.759190835,9,2,26
234,0.475440252,-0.063924378,0,-0.32941156,1,0,-0.557859693,9,2,85
235,0.521694469,-0.253341087,0,-0.187482403,1,0,0.265398409,9,2,85
236,0.04396479,-0.063924378,0,-0.216769372,0,1,-0.029563605,172,2,126
237,1.08186994,-0.569035602,0,-0.386054489,0,1,-0.274688234,185,2,77
238,0.544493838,-0.569035602,0,-0.293687895,0,1,-0.749084646,228,2,59
239,0.118218893,0.914728619,0,-0.212585519,1,1,-0.226733375,9,2,149
240,0.17357779,-0.569035602,0,-0.357089355,1,1,-0.796643184,29,1,89
241,0.024053827,1.514548198,0,-0.310101471,0,1,-0.109670016,131,3,126
242,0.728484477,-0.546905416,1,-0.181045707,1,0,-0.590258947,61,2,31
243,0.298786415,-0.000785475,0,-0.141460024,0,1,0.40054392,18,2,82
244,0.471215279,-0.569035602,0,-0.417916137,0,1,-0.84370632,159,2,116
245,0.766772135,-0.569035602,0,-0.280492667,1,0,-0.238028528,66,2,5
246,-0.014015637,1.640826004,0,-0.327158716,1,0,-0.624193945,241,1,177
247,0.567259044,-0.569035602,0,-0.313319819,0,1,-0.112741505,219,2,62
248,0.254246217,0.346478492,0,-0.141460024,1,0,1.384807487,163,3,85
249,0.215815996,-0.569035602,1,-0.167850479,0,1,0.286799751,128,3,177
250,0.058691138,1.13571478,0,-0.275021475,1,0,0.133423467,114,3,180
251,0.134483661,0.062353428,0,-0.22932093,0,1,0.312164304,191,2,79
252,-0.143208759,-0.569035602,1,-0.167528644,1,0,-0.174864845,172,2,102
253,0.17357779,-0.569035602,0,-0.301411931,0,0,-0.210484208,164,2,168
254,-0.120281832,0.662173007,0,-0.141460024,0,1,0.875485274,6,2,84
255,0.715477143,-0.221771635,0,-0.244125332,1,0,-0.568609904,110,2,106
256,0.381713369,-0.537844984,0,-0.32136569,0,0,-0.746706719,197,1,129
257,0.642076453,-0.569035602,0,-0.327158716,0,1,-0.759884397,132,3,94
258,-0.014015637,0.31490904,0,-0.167850479,0,0,-0.337505135,228,1,13
259,0.498871973,-0.569035602,0,0.502209623,0,1,0.765852936,59,2,5
260,0.517380771,-0.569035602,0,-0.372859261,0,0,-0.633755192,234,1,66
261,0.058691138,0.030783977,0,-0.350652659,0,0,-0.278601905,198,1,104
262,0.250899873,-0.569035602,0,-0.290469547,1,0,-0.751611193,220,2,179
263,0.311418207,-0.569035602,0,-0.270515788,1,0,-0.192550676,125,2,160
264,0.517380771,0.157061783,0,-0.375755775,1,0,-0.091984185,66,2,5
265,0.474400408,-0.569035602,0,-0.150793233,0,0,2.64055104,56,1,104
266,-0.005908339,-0.569035602,0,-0.421778154,0,1,-0.175063006,175,2,104
267,0.349084346,-0.569035602,0,-0.311710645,0,0,-0.231191988,240,2,51
268,0.105679873,-0.569035602,0,-0.425318338,0,0,-0.8438054,66,1,4
269,-0.0752123,0.030783977,0,-0.199390292,0,1,0.918585198,175,3,158
270,-0.238947635,-0.569035602,0,-0.291113216,0,1,-0.689933715,47,2,33
271,0.144169122,0.030783977,0,-0.394744029,0,0,-0.013463058,60,2,79
272,0.031060041,-0.569035602,0,-0.153367912,1,0,-0.122302753,128,3,83
273,-0.142467451,0.977867522,0,-0.141460024,0,1,0.22447825,5,2,112
274,-0.066160824,-0.569035602,1,-0.453961637,1,0,-0.623797624,206,3,89
275,0.264554765,-0.569035602,0,-0.28403285,0,1,-0.037886349,248,2,82
